地区,2017年,2016年,2015年,2014年
北京,1066.89,1020.27,952.72,937.05
天津,805.59,807.93,800.6,794.36
河北,3441.74,3264.52,3175.66,3314.11
山西,1990.61,1797.18,1737.21,1822.63
内蒙古,2891.87,2605.03,2542.87,2416.74
辽宁,2135.5,2037.4,1984.89,2038.73
吉林,702.98,667.63,651.96,667.81
黑龙江,928.57,896.62,868.97,859.42
上海,1526.77,1486.02,1405.55,1369.03
江苏,5807.89,5458.95,5114.7,5012.54
浙江,4192.63,3873.19,3553.9,3506.39
安徽,1921.48,1794.98,1639.79,1585.18
福建,2112.72,1968.58,1851.86,1855.79
江西,1293.98,1182.5,1087.26,1018.52
山东,5430.16,5390.75,5117.05,4223.49
河南,3166.17,2989.15,2879.62,2919.57
湖北,1869,1763.11,1665.16,1656.54
湖南,1581.51,1495.65,1447.63,1430.88
广东,5958.97,5610.13,5310.69,5235.23
广西,1444.95,1359.65,1334.32,1307.99
海南,304.95,287.31,272.36,251.88
重庆,996.55,924.89,875.37,867.24
四川,2205.18,2101.02,1992.4,2014.79
贵州,1384.89,1241.78,1174.21,1173.74
云南,1538.1,1410.52,1438.61,1529.38
西藏,58.19,49.22,40.53,33.98
陕西,1494.75,1357.06,1221.73,1226.01
甘肃,1164.37,1065.15,1098.72,1095.48
青海,687.01,637.51,658,723.21
宁夏,978.3,886.91,878.33,848.75
新疆,2542.85,2316.46,2160.34,1900.24
